Activity,Task,Story,Note,Estimate,Priority
Voter,Vote on question,Ability to see question,,1,H
,,Ability to see choices,,1,M
,,Ability to choose,This is the server trip,2,H
,Navigate questions,Ability to continue to next / prev,,1,H
,,Ability to see list of questions,This includes ability to jump to that question,3,H
,Submit,Ability to return to new screen,,1,M
Admin,Create questions,Ability to enter question,,3,H
,,Ability to reorder question,,3,H
,,Ability to enter multiple choice question,,1,L
,,Ability to enter text question,,1,H
,,Ability to enter long text question,,1,H
,,Ability to enter list question,,2,L
,Compile votes,Ability to see results in spreadsheet,,3,H
,,Ability to see summary of results,This includes percentage of each question answering which answer,2,M
,Announce winners,,,,
